Cause,Title,No_of_victims
Falls, Employee Killed In Fall Down Air Shaft ,Single
Falls, Fell 15 Feet From Top Of Spray Booth To Concrete Floor ,Single
Falls, Employee Killed In Fall Down Air Shaft From Stepladder ,Single
Falls, Fell Down Open Air Shaft ,Single
Falls, Employee Crushed When Milling Machinery Rolled Over ,Single
Struck By Moving Objects, Employee Killed When Struck By Air Spring Components ,Single
Falls, Employee Killed When Struck By Air Spring ,Single
Other, Employee'S Head Punctured By Air Nail Gun ,Single
Falls, Employee Struck And Killed By A Flying Piece Of Steel Bar ,Single
Struck By Moving Objects, Struck By Expanding Air Spring ,Single
Fires and Explosion, Worker Paving Airstrip Is Struck By Airplane And Decapitated ,Single
Falls, Aircraft Mechanic Injured In Fall From Cargo Door ,Single
Fires and Explosion, Employee Injures Neck While Installing Fasteners To Floor ,Single
Falls, Employee Amputates Fingers And Fractures Forearm In Rotor ,Single
Falls, Employee Fractures Leg In Fall From An Airplane Doorway ,Single
Other, Employee Falls From Movable Stairs To The Tarmac At Airport ,Single
Falls, Employee Suffers Injury In Airplane Hanger Accident ,Single
Other, Worker Sustains Fractures In Fall From Bin Elevated On Forks ,Single
Falls, Air Traffic Ground Controller Injured When Struck By Truck ,Single
Falls, Employee Is Fatally Struck By Propeller ,Single
Exposure to extreme temperatures, An Aircraft Mechanic Falls  Injuring Elbow And Scalp ,Single
Collapse of object, Employee Is Killed When Glider Crashes ,Single
Falls, Employee Falls From Platform  Later Dies ,Single
Falls, Employee Scrapes Elbow On Fuel Bladder ,Single
Falls, Cargo Dolly Runs Over Feet Of Airport Security Agent ,Single
Struck By Moving Objects, Airline Baggage Handler Loading Bags Sustains Cardiac Arrest ,Single
Struck By Moving Objects, Employee Is Killed In Fall From Loader ,Single
Suffocation, Employee Is Injured In Fall From Elevated Aircraft Loader ,Single
Electrocution, Employee Is Burned While Filling Propane Gas Cylinders ,Single
Struck By Moving Objects, Employee Sustained Concussion In Fall From Ladder ,Single
Falls, One Employee Killed  One Injured When Lift Basket Crushed ,Single
Other, Employee Dies After Falling Into Oxygen,Single
Falls, Employee Crushed By Weapons Elevator Flight Deck Of Carrier ,Single
Falls, Employee Is Struck And Killed By Aircraft Propeller ,Single
Struck By Moving Objects, Employee Killed When Struck By Aircraft Propeller ,Single
Falls, Employee Struck And Killed By Aircraft Propeller ,Single
Falls, Employee Killed When Helicopter Crashes During Cable Work ,Single
Struck By Moving Objects, Pilot Killed In Helicopter Crash ,Single
Falls, Employee Killed When Struck By Helicopter Blade ,Single
Struck By Moving Objects, Employee Killed By Shrapnel From Broken Helicopter Blade ,Single
Falls, Employee Cuts Face In Fall Against Airplane Propeller ,Single
Falls, Employee Fingers Broken And Amputated By Propeller ,Single
Collapse of object, Employee'S Arm Injured When Struck By Rotating Aircraft Prop ,Single
Struck By Moving Objects, Employee Killed When Struck By Airplane Propeller ,Single
Falls, Employee'S Skull Fractured When Struck By Aircraft Propeller ,Single
Collapse of object, Struck By Aircraft Propeller Blade ,Single
Falls, Demolition Worker Is Injured When Roof Collapses ,Single
Struck By Moving Objects, Airport Ground Worker Herniates Back While Lifting Tow Bar ,Single
Falls, Two Employees Crash In Aircraft  One Later Dies ,Multiple
Falls, Baggage Cart Driver Is Struck By Motor Lounge  Later Dies ,Single
Falls, Employee Injures Leg When Struck By Maneuvering Tow Tractor ,Single
Struck By Moving Objects, Electric Shock ,Single
Caught in/between Objects, Technician Is Struck And Killed By Automated People Mover ,Single
Falls, Airline Worker Falls From Baggage Tug And Is Killed ,Single
Falls, Contact With Buried Conductor Thru Backhoe ,Single
Falls, Employee Is Killed By Aviation Gasoline ,Single
Falls, Employee Is Killed While Repairing Hangar Door ,Single
Falls, Employee'S Finger Is Crushed By Jet Engine  Later Amputated ,Single
Falls, Employee Dies After Being Struck By Truck At Airport ,Single
Falls, Airport Worker Smashes Head Between Aircraft Frame And Cargo ,Single
Falls, Employee Struck By Truck Fractures Ribs  Pelvis  Ankle ,Single
Falls, Worker Is Killed When Run Over By Backing Skid Steer ,Single
Falls, Employees Suffers Chemical Exposure ,Multiple
Other, Backing Forklift Pins Worker'S Leg ,Single
Struck By Moving Objects, Backing Truck Fractures Workers Foot ,Multiple
Collapse of object, Employee Burns Forehead And Hands In Electric Arc ,Single
Caught in/between Objects, Construction Worker Killed By Backing Truck ,Single
Falls, Moving Armored Truck Pins Worker  Fractures Leg ,Single
Struck By Moving Objects, Employee Fractures Leg When Run Over By Forklift ,Single
Struck By Moving Objects, Employee Is Run Over And Killed By Backing Skid Loader ,Single
Falls, Employee Is Injured When Struck By Vehicle Backing Up ,Single
Falls, Employee Is Injured In Back Over ,Single
Falls, Employee Fractures Leg When Struck By Backing Forklift ,Single
Struck By Moving Objects, Employee Is Fatally Injured When Run,Single
Falls, Employee Is Killed In Dump Truck Backover ,Single
Struck By Moving Objects, Employee Struck By Backing Forklift And Dies ,Single
Falls, Employee Is Struck And Killed By Motor Vehicle ,Single
Falls, Employee Is Injured In Truck Back Over ,Single
Struck By Moving Objects, Employee Is Killed In Skid Steer Backover ,Single
Struck By Moving Objects, Firefighter Is Injured In Fall From Ladder ,Single
Struck By Moving Objects, Landscape Worker Is Struck And Killed By Motorist ,Single
Caught in/between Objects, Worker Killed In Fall Down Stairs At After Hours Party ,Single
Struck By Moving Objects, Employee Is Found Dead At Bottom Of Stairs At Hotel ,Single
Struck By Moving Objects, Employee Fractures Hip In Fall From Trailer ,Single
Falls, Employee Dies After Fall Into Fermentation Tank ,Single
Struck By Moving Objects, Employee Dies Of Heat Exhaustion ,Single
Struck By Moving Objects, Employee Is Struck And Killed By Truck ,Single
Caught in/between Objects, Employee'S Hand Is Burnt By Weld Spark ,Single
Struck By Moving Objects, Two Employees Are Overcome By Alcohol Fumes ,Multiple
Struck By Moving Objects, Employee Is Stung By Bees On Construction Worksite ,Single
Other, Inmate Strikes And Fatally Injures Prison Nurse ,Single
Electrocution, Worker Is Burned When Spilled Alcohol Ignites ,Single
Falls, Employee Is Killed In Fire ,Single
Struck By Moving Objects, Employee Falls From Building  Later Dies ,Single
Other, Worker Cutting Tops Off Of Metal Drumjs Dies In Explosion ,Single
Falls, Employee Separating Panes Of Glass Is Burned By Alcohol ,Single
Falls, Employee Sustains Burns When Isopropyl Alcohol Ignites ,Single
Falls, Employee Is Found Dead In Porta Potty ,Single
Struck By Moving Objects, Employee Is Burned While Spray Painting ,Single
Falls, Employee Killed In Fall From Communications Tower ,Single
Falls, Employee Suffers From Dermatitis Response To Exposure ,Single
Falls, Firefighter Experiences Allergic Reaction To Bite ,Single
Struck By Moving Objects, Employee Dies From Bee Sting ,Single
Falls, Employee Dies From Bee Stings ,Single
Falls, Employee Is Injured When Bitten By Rattlesnake ,Single
Falls, Employee Dies From Carbon Monoxide Exposure ,Single
Electrocution, Employee Is Stung By Wasp And Later Dies ,Single
Other, Employee Dies From Asthma Attack ,Single
Falls, Employee Dies From Allergic Reaction To Food Supplement ,Single
Falls, Employee Suffers Alergic Reaction To Gloves ,Single
Caught in/between Objects, Nurse Sustains Allergic Reaction To Soap ,Single
Struck By Moving Objects, Employee Experiences Severe Asthma Attack ,Single
Struck By Moving Objects, Employee Suffers Eye Injury From Epoxy Glue On Glove ,Single
Collapse of object, Employee Collapses When Exposed To Vapors ,Single
Falls, Employee Experiences A Series Of Allergic Reactions ,Single
Struck By Moving Objects, Employee Dies From Allergic Reaction To Bee Stings ,Single
Falls, Employee Experiences Severe Allergy And Is Killed When Stung ,Single
Struck By Moving Objects, Employee Died From Allergic Reaction To Bee Sting ,Single
Struck By Moving Objects, Employee Falls And Has An Allergic Reaction During Surgery ,Single
Struck By Moving Objects, Worker Injured In Combustible Dust Explosion ,Single
Falls, Mechanic Is Burned In Combustible Dust Flash Fire ,Single
Falls, Employee Is Burned In Welding Fire In Ventilation System ,Single
Falls, Employee Is Exposed To Tabular Aluminum Chemical Fumes ,Single
Falls, Aluminum Dust Explosion Injures Six Employees And Kills One ,Multiple
Falls, One Employee Dies Another Injured  In Dust Explosion ,Single
Other, Employee Is Killed In Aluminum Dust Explosion ,Single
Falls, Two Employees Are Burned When Chemical Mixture Explodes ,Multiple
Falls, Toxic Fumes No Employees Injured During Accident ,Multiple
Falls, Employee Is Killed When Aluminum Powder Ignites ,Single
Collapse of object, Two Employees Are Burned  One Dies Later ,Multiple
Falls, Two Employees Burned When Aluminum Dust Explodes ,Multiple
Falls, One Employee Killed   Another Injured In Flash Fire ,Single
Collapse of object, One Killed And Four Injured In Flash Fire ,Multiple
Falls, Burn ,Single
Collapse of object, Two Employees Killed  25 Injured In Metal Dust Explosion ,Multiple
Collapse of object, Employee Dies In Aluminum Powder Explosion ,Single
Struck By Moving Objects, Employee Burned By Aluminum Dust Explosion/Fire ,Single
Collapse of object, Employee Dies From Aluminum Dust Explosion ,Single
Collapse of object, Employee Dies In Aluminum Powder Explosion ,Single
Collapse of object, Employee Amputates Finger While Using Metal Cutting Saw ,Single
Collapse of object, Employee Reacts To Aluminum Phosphide Pellets ,Single
Falls, Employee Injured When Burned By Ignited Aluminium Phosphide ,Single
Collapse of object, Firefighters Exposed To Aluminum Phosphide Vapors ,Single
Falls, Phosphine Gas And Air Mixture Exploded  Injuring Employees ,Multiple
Falls, Employee Caught In Gluing Machine Sustains Lacerations ,Single
Struck By Moving Objects, Employee Is Killed When Crushed Inside Machine ,Single
Struck By Moving Objects, Employee Injures Back In Explosion ,Single
Struck By Moving Objects, Employee Fractures Skull When Struck By Aluminium Tubing ,Single
Drowning, Employee Burned In Aluminum Furnace Flash Fire ,Single
Struck By Moving Objects, Two Foundry Workers Are Killed In Ingot Pouring Explosion ,Multiple
Drowning, Employee Is Burned By Hot Aluminum ,Single
Struck By Moving Objects, Employee'S Foot Burned By Molten Aluminium ,Single
Struck By Moving Objects, Press Operator Injures Thumbs ,Single
Struck By Moving Objects, Employee'S Finger Tip Amputated By Waxer Machine ,Single
Struck By Moving Objects, Employee Is Caught In A Press And Dies ,Single
Other, Molten Metal Burns Employee ,Single
Collapse of object, Employee Is Burned By Molten Aluminum ,Single
Collapse of object, Employee'S Arm Injured In Aluminum Extruder ,Single
Suffocation, One Employees Dies And Two Others Injured By Molten Aluminum ,Multiple
Collapse of object, One Employee Killed  One Injured In Smelting Explosion ,Single
Collapse of object, Employee Killed In Furnace Explosion When Struck By Debris ,Single
Collapse of object, Employee Arm Is Caught Between Upper And Low Die Of Machine ,Single
Collapse of object, Employee Killed By Heart Attack ,Single
Drowning, Employee Breaks Leg After Window Frames Fall On Him ,Single
Collapse of object, Two Employees Suffer Chemical Burns ,Multiple
Collapse of object, Two Refrigeration Technicians Sustain Corneal Burns ,Multiple
Collapse of object, Three Empoyees Exposed To Ammonia Leak Are Not Injured ,Multiple
Collapse of object, Six Employees Hospitalized Following Ammonia Release ,Multiple
Other, Employees Are Hospitalized When Ammonia Line Leaks ,Multiple
Fires and Explosion, Employee Is Injured In Ammonia Exposure ,Single
Fires and Explosion, Employee Burned From Condenser Rupture ,Single
Fires and Explosion, Employee Is Over Come By Ammonia Fume ,Single
Electrocution, No Injuries Are Reported  Anhydrous Ammonia Release/Fire ,Multiple
Falls, No Employees Are Injured ,Multiple
Electrocution, Truck Driver Dies After Arm Is Caught In Power Take,Single
Electrocution, Employee Dies After Working With Bathtub,Single
Electrocution, Ammonia Leak Hospitalizes Five Workers ,Multiple
Fires and Explosion, Truck Drivers Die Of Ammonia Exposure ,Multiple
Electrocution, Employee Dies After Fall Through Floor Opening ,Single
Electrocution, Employees Struck By Flying Objects From Explosion ,Multiple
Fires and Explosion, One Employee Killed  Two Injured In Chemical Fire/Explosion ,Single
Suffocation, Employee Burned By Heated Ammonium Nitrate ,Single
Falls, One Employee Killed And One Employee Injured In Explosion ,Single
Falls, Employee Killed After Fall Into Ammonium Nitrate Hopper Car ,Single
Falls, Trapped By Cave,Single
Falls, Worker Using Power Hand Drill Sustains Finger Amputation ,Single
Falls, Foreman'S Finger Is Amputated When Unguarded Saw Kicks Back ,Single
Electrocution, Employee'S Fingers Are Struck By Mold And Are Amputated ,Single
Falls, Employee'S Feet Are Struck By Object And Are Injured ,Single
Falls, Employee'S Arm Is Caught In Conveyor And Is Amputated ,Single
Falls, Employee Amputates Fingers In Sweeper ,Single
Falls, Employee Catches Fingers In Machine And Are Amputated ,Single
Falls, Crushes Finger While Operating An Electric Pallet Jack ,Single
Other, Skilsaw Blade Jumps And Ampuates Carpenters Finger ,Single
Suffocation, Employee Amputates Finger While Installing Flatbed Sideboard ,Single
Falls, Employee Amputates Finger While Cleaning Pump ,Single
Other, Employee Amputates Two Fingers While Cleaning Grinder ,Single
Electrocution, Employee Amputates Thumb And Finger On Cutting Machine ,Single
Electrocution, Employee Amputates Finger While Using Bandsaw ,Single
